COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
New Zealand,NZL,1.5,Very Low,185,3.980952381,2.3,4.1,6,3.7,5.4,1.8,4.4,1.8,4.7,0,0,0,1,0.3,0,1.1,0.1,1.6,2.7,0.1,0.4,0.2,0.9,0.4,1.6,1.6,1.3,1.8,1.5,1.6,2,0.9,11,0.215686275,,0.196428571
Nicaragua,NIC,4.9,Medium,48,5.01420765,4.4,5.8,8.2,5,7.2,4.2,4.3,4,6.2,2.7,0.9,4.2,4,5.8,5.9,5.3,6.2,1.6,1.3,1,1.1,0.2,4.7,1.9,6.5,7.9,x,7.9,4.4,3.5,5.1,4.5,7,0.137254902,,0.590163934
Niger,NER,7.8,Very High,7,1.411764706,7.5,3.8,0.1,6.6,0,0,0,7.1,7,9.3,9.9,8.4,7.8,7.5,10,5.1,4.8,8,8.5,3.5,8.4,9.9,3.4,7.4,8,7.3,8,6.5,8.5,8.3,9.7,7.4,1,0.019607843,YES,0.161764706
Nigeria,NGA,7,Very High,16,2.599033816,7.8,4.7,0.1,8.2,0,0,6.5,3.1,8,9.4,10,8.5,6.2,5.6,7.7,5.8,1.1,6.8,8.1,5.3,6.2,3.2,4.6,4.9,7,7.1,x,7.1,6.9,5.5,6.3,9,2,0.039215686,YES,0.289855072
North Macedonia,MKD,2.8,Low,131,3.333333333,2,3,6.5,4.2,0,0,0,3.8,3.6,0.9,0.1,1.7,2.6,2,1.7,2,2.7,3.1,5,0.1,0.3,0,1.6,0.5,4.1,5.6,x,5.6,2.1,1.8,1.7,2.9,5,0.098039216,,0.375
Norway,NOR,1.9,Very Low,175,4.387878788,2,2.9,0.4,5.9,0,0,6.6,2.2,2.2,1,0,1.9,2.5,0.1,0,0.5,0,4.3,6.8,0.1,0.2,0,1.1,0.4,1.4,1.6,1.5,1.7,1.2,1.6,1.9,0.2,11,0.215686275,,0.272727273
Oman,OMN,2.5,Low,149,3.788505747,3.2,4.8,0.1,2,9,3.8,5.6,3.4,4.9,1.1,0.4,1.7,1.4,1.7,1.6,3.6,0,1,1,0.1,1.7,0,1.7,0.9,3.5,4.5,x,4.5,2.3,1.1,3.4,2.5,8,0.156862745,,0.310344828
Pakistan,PAK,6.4,High,21,4.393939394,8.4,7.4,9.2,9.5,6.1,7.1,4.4,5,7.4,9.1,10,7.5,5.7,5.3,7.9,4.1,1.2,6.1,7.6,1.8,4.9,3.6,5.4,4.1,5.5,5.9,5,6.8,5.1,5.2,4.7,5.3,5,0.098039216,YES,0.409090909
Palau,PLW,2.2,Low,161,5.6,1.2,2.3,0.1,0,4.4,0.5,4.4,3.5,2,0,0,0,2.7,3.6,2.1,x,6.7,1.7,1.2,0.9,1.7,0,5,2.1,3.3,4.5,4.9,4.1,1.9,1.3,1.4,3,19,0.37254902,,0.3
Palestine,PSE,6.4,High,21,8.760233918,7.7,1.6,4.7,0,0.9,0,0,0,4.1,9.9,10,9.8,6.2,3.7,2.5,2.2,7.5,7.8,10,0,0.8,0,3.2,1.1,5.4,7.8,8.2,7.4,1.3,2,0.1,1.7,14,0.274509804,YES,0.614035088
Panama,PAN,4.1,Medium,77,3.070967742,3.4,5.2,7.8,0.2,8.5,0,5.9,1.2,6.2,1,0.2,1.7,3.6,2.5,1.6,5.6,1,4.5,6.8,0.9,0.8,0.7,1.3,0.9,5.6,7.6,9,6.1,2.5,1.6,3.7,2.3,7,0.137254902,,0.225806452
Papua New Guinea,PNG,6.5,High,20,3.516666667,6.3,6,9.2,4.6,7.1,2.8,6.3,2.5,5.9,6.5,8.3,3.5,6,6.4,8,8.1,1.4,5.6,6.2,5.7,4.7,0.2,7.3,4.9,7.1,5.3,3.8,6.8,8.3,7.2,9.6,8,6,0.117647059,,0.359375
Paraguay,PRY,3,Low,117,3.583333333,1.9,2.6,0.1,5.6,0,0,0,3.9,5.6,1.2,0.6,1.8,2.9,3.6,4.1,5.4,0.6,2.1,3.1,1.3,0.8,0.3,1.4,1,5,6.6,6.3,6.8,2.7,1.8,3,3.2,5,0.098039216,,0.421875
Peru,PER,4.6,Medium,59,2.564102564,4.7,6.5,9.6,6.5,9.1,0,3.3,4.4,5.6,2.2,0.8,3.4,5.3,3.3,4.1,4.3,0.6,6.8,9.2,1.1,0.9,1,2.3,1.3,4,4.2,1.8,6.5,3.7,2.1,4.3,4.8,5,0.098039216,,0.230769231
Philippines,PHL,5.4,High,35,3.089552239,8.1,8.2,9.7,6.7,9.4,9.2,8.9,3.8,6.1,8,9.5,5.1,5,3.7,4.5,4.6,1.3,6,5.9,3.9,2.9,10,1.8,6.1,3.8,4.3,2.9,5.7,3.3,1.6,2.6,5.6,3,0.058823529,,0.313432836
Poland,POL,2.5,Low,149,3.503448276,2.1,2.8,0.8,5.9,0,0,5.7,2.4,2.6,1.4,0.1,2.6,3.6,0.6,0.4,1.2,0.4,5.8,8.5,0.1,0.3,0.1,0.9,0.4,2.1,3.1,1.7,4.5,1,1.2,0.7,1.2,9,0.176470588,,0.206896552
Portugal,PRT,1.9,Very Low,175,3.579661017,1.9,3.2,3.4,3.8,4.3,0,4.6,3.3,2.3,0.4,0.1,0.6,2.2,0.7,0.5,1.7,0.1,3.4,5.6,0.4,0.2,0.4,0.5,0.4,1.7,2.8,1.9,3.7,0.5,1.5,0,0.1,8,0.156862745,,0.271186441
Qatar,QAT,1.3,Very Low,187,5.646783626,1.5,2,0.1,0,0,0,3.5,4.7,4.1,0.9,0.1,1.7,1.1,1,0.5,2.7,0.1,1.1,1.7,0.3,0.4,0,1.2,0.5,1.2,1.7,0,3.4,0.6,0.4,0.2,1.1,11,0.215686275,,0.50877193
Romania,ROU,2.9,Low,126,3.602339181,2.4,3.4,6.1,6.1,0,0,2.9,2.8,3.3,1.3,0.1,2.3,2.9,1.6,1.5,2.7,0.6,4,6.4,0.4,0.5,0.1,0.3,0.3,3.6,5.3,x,5.3,1.3,1.4,0.9,1.7,10,0.196078431,,0.175438596
