COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
United Kingdom,GBR,2.1,Very Low,166,3.878787879,2,3.5,0.1,5.7,1.9,0,8.3,1.6,2.4,0.3,0.1,0.4,2.9,0.4,0,1.6,0,4.8,7.4,0.1,0.3,0,1,0.4,1.6,2.3,1.7,2.8,0.8,1.5,0,0.9,12,0.235294118,,0.127272727
United States of America,USA,3.2,Medium,109,4.147126437,5.3,7,7.7,7.5,7.2,7.7,8.4,4.2,4.7,2.8,1.3,4.1,3.3,0.8,0,3.3,0,5.2,7.9,0.3,0.3,0,0,0.2,1.9,2.8,2.5,3.1,1,1.6,0.9,0.6,9,0.176470588,,0.327586207
Uruguay,URY,2.7,Low,135,4.935519126,1.5,2.8,0.1,3.9,0,0,3.8,3.4,6.2,0.1,0.1,0,4,1.6,1.4,3.6,0.1,5.8,6.3,0.7,0.5,10,1.2,5.2,3.2,4.6,6.3,2.9,1.4,1.1,2.4,0.8,9,0.176470588,,0.475409836
Uzbekistan,UZB,3.2,Medium,109,3.138461538,3.6,4.8,7,8.3,0,0,0,6.6,5.4,2.1,0.5,3.4,2.7,2.8,3.2,2.4,2.4,2.5,4.2,0.4,0.7,0,0.7,0.5,3.5,4.3,2.3,6.2,2.5,1.5,3.1,2.8,5,0.098039216,,0.338461538
Vanuatu,VUT,4.2,Medium,74,4.20952381,2.9,5.1,6.2,0,7,6.4,4.9,5,4.2,0,0,0,4.3,5.1,5.7,1.8,7.1,3.3,0,1.4,2,10,1.9,5.6,5.9,6.3,6.9,5.6,5.4,3.6,5.6,7,9,0.176470588,,0.339285714
Venezuela,VEN,5.8,High,27,6.777011494,6.1,5.9,8.1,5.7,5.4,5.6,6.7,2,5.9,6.2,7.1,5.2,4.5,4,4,6.9,1.1,5,6.8,1.3,1.9,0.3,5.5,2.5,7,8.6,x,8.6,4.4,2.8,3.6,6.9,13,0.254901961,,0.620689655
Viet Nam,VNM,4,Medium,79,2.75,5,7.3,3.5,9.9,5.9,5.9,9.6,4.5,6.7,1.2,0.2,2.1,2.9,2.8,3.4,3.9,0.4,3,3.6,1.2,2.1,4.3,1.2,2.3,4.3,5.4,x,5.4,3.1,1.6,3,4.8,5,0.098039216,,0.265625
Yemen,YEM,8.2,Very High,3,6.516129032,8,4.5,1.7,6,3.6,3.5,4.8,4.3,6.5,9.6,10,9,8.5,8.3,9.2,6.5,8.1,8.7,10,1.2,6.1,3.7,8.7,5.7,8.2,9.2,x,9.2,6.7,6.2,7.4,6.6,6,0.117647059,YES,0.677419355
Zambia,ZMB,4.6,Medium,59,1.54589372,2.3,3.1,2.5,4.8,0,0,0,5.1,6.3,1.4,0.2,2.5,6.6,6.3,7.9,6.8,2.6,6.9,5.7,5.8,3.5,10,8.5,7.8,6.6,6.9,7.6,6.2,6.2,5,7.7,5.9,0,0,,0.289855072
Zimbabwe,ZWE,5,Medium,44,1.391304348,3.4,4.1,1.8,3.6,0,0,0,9.7,5.1,2.6,0.5,4.3,6.1,5.9,7.3,6.6,2.3,6.3,4,4.5,3,10,9,7.8,6.1,5.8,3.9,7.6,6.4,4.9,7.9,6.5,0,0,,0.260869565
